Neighborhood,Lat,Lon
Prague 1,50.0863890,14.4111110
Prague 2,50.0741670,14.4427780
Prague 3,50.0844440,14.4541670
Prague 4,50.0622220,14.4402780
Prague 5,50.0600000,14.3933330
Prague 6,50.1008330,14.3947220
Prague 7,50.1005560,14.4355560
Prague 8,50.1077780,14.4713890
Prague 9,50.1105560,14.5000000
Prague 10,50.0666700,14.4641700
Prague 11,50.0286110,14.5316670
Prague 12,50.0100000,14.4069440
Prague 13,50.0500000,14.3444440
Prague 14,50.1027780,14.5522220
Prague 15,50.0466670,14.5566670
Prague 16,49.9841940,14.3578060
Prague 17,50.0688890,14.3036110
Prague 18,50.1356110,14.5116940
Prague 19,50.1333330,14.5494440
Prague 20,50.1147220,14.6125000
Prague 21,50.0758330,14.6594440
Prague 22,50.0297220,14.6097220
Prague Bechovice ,50.0833330,14.6166670
Prague Benice,50.0130600,14.6047200
Prague Brezineves,50.1655600,14.4833300
Prague Cakovice,50.1511000,14.5247000
Prague Dablice,50.1450000,14.4825000
Prague Dolni Chabry,50.1463900,14.4477800
Prague Dolni Mecholupy,50.0590000,14.5580000
Prague Dolni Pocernice,50.0858330,14.5755560
Prague Dubec,50.0616670,14.5905560
Prague Klanovice,50.0941670,14.6694440
Prague Kolodeje,50.0630560,14.6408330
Prague Kolovraty,50.0111000,14.6272000
Prague Kralovice,50.0377780,14.6355560
Prague Kreslice,50.0231000,14.5647000
Prague Kunratice,50.0133330,14.4855560
Prague Libus,50.0091670,14.4622220
Prague Lipence,49.9600000,14.3588900
Prague Lochkov,50.0030600,14.3522200
Prague Lysolaje,50.1244400,14.3716700
Prague Nebusice,50.1100000,14.3244400
Prague Nedvezi,50.0181000,14.6528000
Prague Petrovice,50.0366670,14.5622220
Prague Predni Kopanina,50.1163900,14.2958300
Prague Reporyje,50.0330600,14.3116700
Prague Satalice,50.1247000,14.5733000
Prague Slivenec,50.0241670,14.3555560
Prague Suchdol,50.1330560,14.3766670
Prague Seberov,50.0128000,14.5139000
Prague Sterboholy,50.0722000,14.5497000
Prague Troja,50.1177800,14.4238900
Prague Ujezd,50.0125000,14.5469000
Prague Velka Chuchle,50.0138900,14.3883300
Prague Vinor,50.1464000,14.5786000
Prague Zbraslav,49.9675000,14.3866670
Prague Zlicin,50.0616670,14.2783330
